date;AAPL;MSFT;GE;PG;GS
2013-12-18;75.52833006439536;2.286410537878911;0.8530182756858279;2.9191623010181043;1.8558314217258796
2013-12-19;74.66300198684758;2.2657848284167055;0.8570641413674057;2.9021523422900715;1.8550890891571894
2013-12-20;75.28830462848742;2.3001613158334435;0.8583188832703675;2.900025064623173;1.8592296480041883
2013-12-23;78.17771918351951;2.288911226837702;0.8595737454777089;2.881244502304673;1.8731348265416117
2013-12-24;77.84585476558547;2.317664529669237;0.86616151866305;2.881244502304673;1.869843728651378
2013-12-26;77.32888044408722;2.3401667345877954;0.8730630936437572;2.897189309380427;1.8729214914287382
2013-12-27;76.80636919892652;2.330792026649037;0.8730630936437572;2.9060489142885126;1.8718595449430981
2013-12-30;76.0425298572432;2.330792026649037;0.8749454176736532;2.9056943763209695;1.8652780867830783
2013-12-31;76.9339003922298;2.3382925153907936;0.8793376436703749;2.88478790528334;1.8815190630846985
2014-01-02;75.85190201711349;2.322665706510437;0.8627111275038555;2.853958176939577;1.8775923328000408
2014-01-03;74.18573913740558;2.307038811637035;0.8620839365141602;2.850767451697759;1.8909664229865755
2014-01-06;74.59027397292185;2.2582841604307093;0.8551820925184278;2.857500964418669;1.9039157610511874
2014-01-07;74.05650597237161;2.2757858626740473;0.8561236480022906;2.8851415712474906;1.8924522842538982
2014-01-08;74.5258761072245;2.2351585334535904;0.8536134934663479;2.843327214455401;1.894043836624956
2014-01-09;73.57403161758303;2.220781993766417;0.8539276232319434;2.8497047973974245;1.8830053491451058
2014-01-10;73.08321925266213;2.2526590985049397;0.8457709065748319;2.8454530378397074;1.8935144019986847
2014-01-13;73.46580990544983;2.1864038890997124;0.8385556349708421;2.835178106920068;1.866872654362563
2014-01-14;74.92763259094846;2.236406946043423;0.8460850260172453;2.8656534363913515;1.8745156310095235
2014-01-15;76.43195467047693;2.297662132295552;0.857692466489176;2.8628193051427604;1.8973359843014332
2014-01-16;76.00546436341567;2.3057866655953494;0.8533002233682848;2.854668858581019;1.859336139207844
2014-01-17;74.14317847558326;2.2739091649434937;0.8338500980768282;2.8305725987457366;1.871118752322004
2014-01-21;75.29506689637992;2.26078416124344;0.82475279350681;2.841204229426626;1.838426565481434
2014-01-22;75.62967817366743;2.24578385833359;0.8153415393801038;2.828856355845538;1.8435208454943832
2014-01-23;76.27011028844204;2.2535969403767324;0.8100083903710185;2.793509795679248;1.812420648830893
2014-01-24;74.88367222361875;2.3004762639304492;0.782715157657467;2.8270710223645383;1.779409219133087
2014-01-27;75.49120345636896;2.252035135240866;0.7864800175657994;2.8017206765069957;1.7480969551040022
2014-01-28;69.45741803771176;2.2670359412767054;0.7987145007190529;2.8245715103445868;1.7646549294627472
2014-01-29;68.66893742814766;2.291413378753254;0.7933814839977518;2.772085322539364;1.7397115320347911
2014-01-30;68.53620037209905;2.3039153301477318;0.7999697238408692;2.7445917803104183;1.760304497439487
2014-01-31;68.64839413210818;2.3651695270303694;0.7883621631479382;2.7356663678408486;1.7420466191920445
2014-02-03;68.77594284840563;2.2801629690593708;0.7638921899659893;2.7028192217621836;1.696404997769213
2014-02-04;69.77154339707916;2.2720364682376433;0.7707939559023319;2.7167441463927027;1.7169976580371333
2014-02-05;70.29266705471194;2.238910176530738;0.7692253902020707;2.7295970629492867;1.7027740494379537
2014-02-06;70.69994276762695;2.261411223804872;0.7827152958700444;2.7456634712618064;1.7168917490818438
2014-02-07;71.68903496694605;2.285162825888494;0.7902442343010184;2.760303348890574;1.7188026495985718
2014-02-10;72.97334402837889;2.3001626346776263;0.7858520568467734;2.7860100539787918;1.708931565981927
2014-02-11;73.93484080929682;2.3236012919249913;0.7977734325491389;2.8149316243491453;1.7449148290352425
2014-02-12;73.92929569623611;2.3420390681764163;0.7965185349397391;2.766731550145415;1.7354678601508458
2014-02-13;75.10321898259664;2.3507889261351234;0.7980868799350356;2.7778012430775467;1.7414118375718624
2014-02-14;75.0425355816587;2.3514142359894756;0.8074979204232295;2.83492950344268;1.7378036322444135
2014-02-18;75.31846698499245;2.356415694069425;0.8046741001955096;2.7838724230856773;1.7476743568755615
2014-02-19;74.12933902823339;2.3620828738136623;0.796830941740904;2.789941264968004;1.732920489954818
2014-02-20;73.27129192898158;2.377195480040322;0.7949488270565119;2.7820875803071194;1.7460820210760248
2014-02-21;72.45739441823446;2.3916797321002075;0.7892522237618249;2.783873680533677;1.7460820210760248
